age,workclass,education,educationno,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native
32, Federal-gov, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States
76, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States
47, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States
20, Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States
29, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States
30, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States
31, Local-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
42, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
24, Private, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States
38, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
56, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, Canada
28, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25, United-States
36, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States
53, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States
56, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
49, Local-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States
55, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,56, United-States
22, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41, United-States
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States
40, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States
30, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Germany
29, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States
19, Private, Some-college,10, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States
47, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States
20, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28, United-States
31, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
39, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
28, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States
24, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,1762,40, United-States
38, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,35, United-States
37, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
46, Private, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36, United-States
38, Federal-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran
43, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States
27, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States
49, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States
61, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
27, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,40, United-States
19, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,30, Mexico
45, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,40, United-States
70, Private, Some-college,10, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States
31, Private, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30, United-States
22, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States
36, Private, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States
64, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2179,40, United-States
47, Local-gov, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico
34, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
33, Private, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States
48, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States
23, Private, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States
71, Self-emp-not-inc, Some-college,10, Separated, Sales, Unmarried, Black, Male,0,1816,2, United-States
29, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States
42, Private, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,0,0,50, United-States
25, Private, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States
44, Self-emp-inc, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States
28, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England
45, Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
36, Private, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,0,40, Mexico
39, Federal-gov, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States
46, State-gov, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States
18, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States
66, Local-gov, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States
27, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,1980,40, United-States
28, State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States
51, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, United-States
27, Private, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States
28, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
27, Private, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25, United-States
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States
34, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States
33, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States
44, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38, United-States
43, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
30, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States
40, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico
37, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States
34, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States
41, Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
31, Private, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States
58, State-gov, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States
38, Private, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States
24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
41, Local-gov, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States
47, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States
41, Federal-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States
23, Private, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, Mexico
36, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
40, Federal-gov, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,55, United-States
35, Private, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States
24, Self-emp-not-inc, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States
26, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,40, United-States
51, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
42, Local-gov, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,1340,40, United-States
37, State-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States
18, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,40, United-States
36, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,7298,0,36, United-States
35, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States
58, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,15024,0,35, United-States
17, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,12, United-States
44, Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States
37, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
35, Private, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States
60, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States
54, Self-emp-inc, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
37, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States
50, Private, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States
38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland
45, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States
25, Private, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
31, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
90, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,0,2206,40, United-States
54, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20, United-States
53, Local-gov, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States
18, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,40, United-States
66, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409,0,50, United-States
75, Private, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, Columbia
65, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
35, Private, 11th,7, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,40, United-States
41, Private, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,0,0,38, United-States
25, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42, United-States
33, Private, Some-college,10, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40, United-States
28, Private, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States
59, State-gov, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
40, State-gov, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States
41, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran
38, Local-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States
23, Private, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States
40, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
41, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States
24, State-gov, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States
38, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,1741,40, United-States
58, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States
32, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,34, United-States
40, Private, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,1977,60, United-States
41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States
42, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States
59, Local-gov, 10th,6, Widowed, Other-service, Unmarried, Black, Female,0,0,30, United-States
19, Local-gov, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States
58, Private, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,0,0,20, United-States
42, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia
20, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States
32, Private, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,0,0,30, United-States
45, Private, Assoc-voc,11, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States
50, Private, 7th-8th,4, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
36, Private, Bachelors,13, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States
45, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States
17, Private, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States
59, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,4064,0,40, United-States
26, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
37, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,75, Thailand
64, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
33, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States
33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States
61, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
17, Private, 9th,5, Never-married, Other-service, Own-child, White, Male,1055,0,24, United-States
50, Self-emp-not-inc, Masters,14, Married-civ-spouse, Farming-fishing, Husband, White, Male,2407,0,98, United-States
27, Local-gov, Masters,14, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States
30, Private, HS-grad,9, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States
43, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States
44, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States
35, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
25, Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States
24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,7298,0,48, United-States
22, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,15, Germany
42, Local-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,40, United-States
34, Private, Assoc-acdm,12, Divorced, Sales, Unmarried, Black, Female,0,0,45, United-States
60, Private, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,42, United-States
21, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States
57, Federal-gov, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,15024,0,40, United-States
41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States
50, Private, Some-college,10, Divorced, Other-service, Not-in-family, White, Male,0,0,45, United-States
25, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
50, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador
36, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States
31, Private, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States
29, Local-gov, Bachelors,13, Never-married, Protective-serv, Not-in-family, White, Male,0,0,56, United-States
21, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,45, United-States
27, Private, Bachelors,13, Never-married, Tech-support, Unmarried, Black, Female,0,0,40, United-States
65, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,16, United-States
37, Self-emp-inc, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,0,0,60, United-States
24, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States
38, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,80, United-States
48, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,7688,0,40, United-States
21, Private, Some-college,10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States
31, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States
